Sample No.,TL (mm),Weight (g),Species,Geimsa Result,Infected RBC,Uninfected RBC,Total RBC,Average RBC per slide,# WBCS,Infected cell per RBC load,counted by,dates counted,notes-infected-cells,Sample collection Date,,,,,,,,
3,71,6,STAD,Infected,1,2695,2696,53.92,0,0.00037092,jB,6-Nov,"image 041, ",5/4/2018 @Brewers Bay East Side,,,,,,,,
5,67,6,STAD,Infected,3,3061,3064,61.28,0,0.000979112,jB,7-Nov,"image 001, two in 029, ",5/4/2018 @Brewers Bay East Side,,,,,,,,
1,60,3,STAD,Infected,0,740,740,14.8,0,0,jB,8-Nov,no parasites in 50+ images,"6/18/18 @Lindbergh Bay West, St. Thomas",,,,,,,,
4,70,6,STAD,Infected,0,2392,2392,47.84,0,0,jB,11-12 Nov,no parasites in 50+ images,6/30/2018 @Brewers Bay West Side,,,,,,,,
14,60,3,STAD,Infected,1,4902,4903,98.06,120,0.000203957,jB,17-18 Nov,"image 005, ",6/30/2018 @Brewers Bay West Side,,,,,,,,
1,68,5.6,STAD,Infected,5,3174,3179,63.58,78,0.001572822,jB,19-Nov,"image 002, image 022, 031, 040, 041, ",7/19/2018 @Green Cay (Abi Beach),,,,,,,,
5,71,6.12,STAD,Infected,0,2938,2938,58.76,16,0,jB,"20 Nov, travel, 24-25 Nov",no parasites in 50+ images,7/19/2018 @Green Cay (Abi Beach),,,,,,,,
1,70,7,STAD,Infected,0,4154,4154,83.08,6,0,jB,"25, 26, 27, 29 Nov",no parasites in 50+ images,7/24/2018 @Perserverance Bay,,,,,,,,
8,77,9,STAD,Infected,0,3665,3665,73.3,56,0,jB,"11/29, 12/2-3",no parasites in 50+ images,7/24/2018 @Perserverance Bay,,,,,,,,
2,62,4,STAD,Infected,2,2676,2678,53.56,46,0.000746826,jB,3-Dec,"image 025, 037, ",7/26/2018 @Blackpoint Brewers Bay,,,,,,,,
3,59,5,STAD,Infected,0,2864,2864,57.28,77,0,jB,"12/3, 12/7-8",no parasites in 50+ images,7/26/2018 @Blackpoint Brewers Bay,,,,,,,,
6,82,11,STAD,Infected,7,2318,2325,46.5,10,0.003010753,jB,"12/8, 1/27","image 006, 017, 019, two in 035, two in 048, 063, 064, 068, 071",7/26/2018 @Blackpoint Brewers Bay,,,,,,,,
8,60,3,STAD,Infected,0,4267,4267,85.34,128,0,jB,"1/28, stx trip, 2/2",no parasites in 50+ images,7/26/2018 @Blackpoint Brewers Bay,,,,,,,,
10,54,3,STAD,Infected,1,3741,3742,74.8,12,0.000267237,jB,2/3,"image 008, ",7/26/2018 @Blackpoint Brewers Bay,,,,,,,,
7,77,10,STAD,Infected,4,3314,3318,66.36,43,0.001205546,jB,2/3,"image 030, 035, 037, 046, ","8/3/2018 @Black Point, Brewers Bay",,,,,,,,
8,84,11,STAD,Infected,5,2327,2332,46.64,19,0.002144082,jB,2/3,"image 007, 014, 015, 036, 037, 051, ","8/3/2018 @Black Point, Brewers Bay",,,,,,,,
13,84,11,STAD,Infected,6,3253,3259,65.18,69,0.001841056,jB,"2/3,4","image 004, 024, 027, 034, 041, 042, ","8/3/2018 @Black Point, Brewers Bay",,,,,,,,
4,78,10,STAD,Infected,0,2995,2995,59.9,96,0,jB,"2/4,5",no parasites in 50+ images,"8/4/2018 @Fortuna Bay, St. Thomas",,,,,,,,
8,75,9,STAD,Infected,0,4139,4139,82.78,119,0,,5-Feb,no parasites in 50+ images,"8/4/2018 @Fortuna Bay, St. Thomas",,,,,,,,
2,85,11,STAD,Infected,2,2642,2644,52.88,29,0.00075643,jB,5-Feb,"image 030, 045,",8/6/2018 @ChenayBay East,,,,,,,,
3,80,9,STAD,Infected,2,1536,1538,30.76,40,0.00130039,jB,"2/5,6","image 006, 031, ",8/6/2018 @ChenayBay East,,,,,,,,
4,83,10,STAD,Infected,0,3216,3216,64.32,56,0,jB,8-Feb,no parasites in 50+ images,8/6/2018 @ChenayBay East,,,,,,,,
7,86,11,STAD,Infected,7,5637,5644,112.88,41,0.001240255,jB,"2/8,9","image 012, 013, 015, 028, 030, 035, 047, ",8/6/2018 @ChenayBay East,,,,,,,,
8,78,8,STAD,Infected,3,3953,3956,79.12,122,0.000758342,jB,9-Feb,"image 012, 015, 045, ",8/6/2018 @ChenayBay East,,,,,,,,
10,95,16,STAD,Infected,2,2217,2219,44.4,77,0.000901307,jB,"2/9,10","image 001, 033, ",8/6/2018 @ChenayBay East,,,,,,,,
1,88,14,STAD,Infected,2,2237,2239,44.78,73,0.000893256,jB,"2/10,","image 031, 036, ","8-7-2018 @Frederiksted Bay, St Croix ",,,,,,,,
2,80,10,STAD,Infected,1,2672,2673,53.5,244,0.000374111,jB,"2/10,","image 033, ","8-7-2018 @Frederiksted Bay, St Croix ",,,,,,,,
3,85,12,STAD,Infected,0,1754,1754,35.1,15,0,jB,11-Feb,no parasites in 50+ images,"8-7-2018 @Frederiksted Bay, St Croix ",,,,,,,,
5,80,11,STAD,Infected,0,383,383,7.66,6,0,jB,11-Feb,no parasites in 50+ images,"8-7-2018 @Frederiksted Bay, St Croix ",,,,,,,,
7,85,11,STAD,Infected,6,3548,3554,71.1,159,0.001688239,jB,12-Feb,"imsge 003, 008, 014, 028, 030, 039, ","8-7-2018 @Frederiksted Bay, St Croix ",,,,,,,,
10,84,11,STAD,Infected,2,935,937,18.7,11,0.002134472,jB,12-Feb,"image 039, 046, ","8-7-2018 @Frederiksted Bay, St Croix ",,,,,,,,
11,79,9,STAD,Infected,0,1814,1814,36.3,161,0,jB,12-Feb,no parasites in 50+ images,"8-7-2018 @Frederiksted Bay, St Croix ",,,,,,,,
12,90,14,STAD,Infected,2,726,728,14.6,12,0.002747253,jB,"2/12, 13","image 001, 022, ","8-7-2018 @Frederiksted Bay, St Croix ",,,,,,,,
7,86,11,STAD,Infected,0,1265,1265,25.3,23,0,jB,17-Feb,no parasites in 50+ images,"8-8-2018 Chenay Bay near Pull Point, St Croix",,,,,,,,
8,78,8,STAD,Infected,0,1751,1751,35,29,0,jB,17-Feb,no parasites in 50+ images,"8-8-2018 Chenay Bay near Pull Point, St Croix",,,,,,,,
10,84,12,STAD,Infected,0,4939,4939,98.8,177,0,jB,"2/17,19,21",no parasites in 50+ images,"8-8-2018 Chenay Bay near Pull Point, St Croix",,,,,,,,
11,82,9,STAD,Infected,0,2541,2541,50.8,356,0,jB,"2/21,22",no parasites in 50+ images,"8-8-2018 Chenay Bay near Pull Point, St Croix",,,,,,,,
13,75,8,STAD,Infected,1,4740,4741,94.8,124,0.000210926,jB,22-Feb,"image 038, ","8-8-2018 Chenay Bay near Pull Point, St Croix",,,,,,,,
3,75,7,STAD,Infected,0,1558,1558,31.2,29,0,jB,11-May,no parasites in 50+ images,"8/9/2018 @Rock Beach (near Rainbow Beach), St. Croix",,,,,,,,
4,67,5,STAD,Infected,4,2918,2922,58.4,29,0.001368925,jB,11-May,"image 003, 012, 033, 046, infected cell in image 012 is really cool looking","8/9/2018 @Rock Beach (near Rainbow Beach), St. Croix",,,,,,,,
5,80,8,STAD,Infected,1,3717,3718,74.4,52,0.000268962,jB,11-May,"image 035, ","8/9/2018 @Rock Beach (near Rainbow Beach), St. Croix",,,,,,,,
8,82,9,STAD,Infected,2,2076,2078,41.6,52,0.000962464,jB,11-May,"image 013, 049, ","8/9/2018 @Rock Beach (near Rainbow Beach), St. Croix",,,,,,,,
9,85,10,STAD,Infected,2,2270,2272,45.4,41,0.000880282,jB,13-May,"image 014, 018, ","8/9/2018 @Rock Beach (near Rainbow Beach), St. Croix",,,,,,,,
10,79,9,STAD,Infected,0,2712,2712,54.2,11,0,jB,15-May,no parasites in 50+ images,"8/9/2018 @Rock Beach (near Rainbow Beach), St. Croix",,,,,,,,
12,70,6,STAD,Infected,0,1422,1422,28.4,52,0,jB,15-May,no parasites in 50+ images,"8/9/2018 @Rock Beach (near Rainbow Beach), St. Croix",,,,,,,,
1,80,11,STAD,Infected,0,5951,5951,119,73,0,jB,23-May,no parasites in 50+ images,"8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
3,80,11,STAD,Infected,2,5831,5833,117,37,0.000342877,jB,23-May,"image 235, 252, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
4,78,6,STAD,Infected,8,4089,4097,81.9,45,0.001952648,jB,23-May,"image 120, 126, 130, 143, 146, 147, 158, 161, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
5,81,11,STAD,Infected,8,3600,3608,72.2,24,0.002217295,jB,23-May,"image 167, 173, 190, 199, 205, 207, 212, 213, 220, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
6,73,7,STAD,Infected,5,3781,3786,75.7,28,0.001320655,jB,23-May,"image 058, 083, 084, 086, 095, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
7,65,5,STAD,Infected,5,6144,6149,123,78,0.00081314,jB,23-May,"image 016, 022, 032, 045, 049, 053, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
9,81,10,STAD,Infected,1,3584,3585,71.7,28,0.00027894,jB,24-May,"image 081, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
10,84,11,STAD,Infected,3,1418,1421,28.4,22,0.002111189,jB,24-May,"image 059, 083, 087, 111","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
11,85,12,STAD,Infected,3,572,575,11.5,4,0.005217391,jB,24-May,"image 062, 081, 085, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
12,79,8,STAD,Infected,1,5437,5438,109,43,0.000183891,jB,25-May,"image 030, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
13,61,5,STAD,Infected,0,6792,6792,136,99,0,jB,25-May," one in image 002_7-8-19, maybe in image 15_7-8, ","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
14,96,7,STAD,Infected,0,4158,4158,83.2,9,0,jB,25-May,one maybe in Image 49,"8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
15,91,16,STAD,Infected,0,1648,1648,33,12,0,jB,25-May,"yes, image -001, image 009, image 020, image 024, image 036,","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
4,76,8,STAD,Infected,2,4671,4673,93.5,21,0.000427991,jB,5/15/2020,"image 007, 013, ","8/23/2018 @Carolina Point, Water Island",,,,,,,,
12,86,11,STAD,Infected,0,1107,1107,22.1,15,0,jB,16-May,no parasites in 50+ images,8/24/2018 @Stumpy Bay,,,,,,,,
13,72,7,STAD,Infected,0,1258,1258,25.2,14,0,jB,17-May,no parasites in 50+ images,8/24/2018 @Stumpy Bay,,,,,,,,
4,65,7,STAD,Infected,1,702,703,14.1,4,0.001422475,jB,17-May,image 167,"9/8/2018 @South Haulover Bay,",,,,,,,,
2,81,10,STAD,Infected,0,2758,2758,55.2,49,0,jB,17-May,no parasites in 50+ images,10/22/2018 @Great Lameshur (VIERS),,,,,,,,
7,67,5,STAD,Infected,1,1328,1329,26.6,15,0.000752445,jB,17-May,"image 195, 202,",10/22/2018 @Great Lameshur (VIERS),,,,,,,,
2,80,8,STAD,Infected,1,1592,1593,31.9,92,0.000627746,jB,18-May,"image 038, ",10/29/2018 @MMSC Dock (n=13),,,,,,,,
3,85,10,STAD,Infected,0,2446,2446,48.9,25,0,jB,18-May,no parasites in 50+ images,10/29/2018 @MMSC Dock (n=13),,,,,,,,
1,88,14.3,STAD,Infected,0,2892,2892,57.8,24,0,jB,18-May,no parasites in 50+ images, 1-24-2019 @ Hassel Island (n=5),,,,,,,,
1,65,5.6,STAD,Infected,0,1866,1866,37.3,6,0,jB,18-May,no parasites in 50+ images,2-4-2019 @ Hassel Island (n=8),,,,,,,,
3,82,11.4,STAD,Infected,0,1359,1359,27.2,24,0,jB,19-May,no parasites in 50+ images, 2-11-2019 @Lindbergh Bay West (n=4),,,,,,,,
10,68,5.7,STAD,Infected,6,1672,1678,33.6,50,0.003575685,jB,19-May,"image 003, 004, 031, 032, 045, 050, "," 2-17-2019 @Leinster Bay, St. John ",,,,,,,,
2,74,7.7,STAD,Infected,4,3916,3920,78.4,203,0.001020408,jB,20-May,"image 029, 030, two in 039, ","2-18-2019 @Chocolate Hole, St. John (n=13)",,,,,,,,
1,76,8.7,STAD,Infected,0,2791,2791,55.8,5,0,jB,22-May,no parasites in 50+ images,"3-28-2019 @Flat Cay West, St. Thomas (n=10)",,,,,,,,
9,71,6.7,STAD,Infected,0,2191,2191,43.8,31,0,jB,22-May,no parasites in 50+ images,"3-28-2019 @Flat Cay West, St. Thomas (n=10)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
